dt,Цена на арматуру,year,month,week,day_of_week,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_roll_mean_2,price_roll_mean_4
2015-01-05,32900,2015,1,2,0,,,,,,
2015-01-12,32500,2015,1,3,0,32900.0,,,,32700.0,
2015-01-19,32000,2015,1,4,0,32500.0,32900.0,,,32250.0,
2015-01-26,30700,2015,1,5,0,32000.0,32500.0,32900.0,,31350.0,32025.0
2015-02-02,30300,2015,2,6,0,30700.0,32000.0,32500.0,32900.0,30500.0,31375.0
2015-02-09,30300,2015,2,7,0,30300.0,30700.0,32000.0,32500.0,30300.0,30825.0
2015-02-16,30100,2015,2,8,0,30300.0,30300.0,30700.0,32000.0,30200.0,30350.0
2015-02-23,29400,2015,2,9,0,30100.0,30300.0,30300.0,30700.0,29750.0,30025.0
2015-03-02,29200,2015,3,10,0,29400.0,30100.0,30300.0,30300.0,29300.0,29750.0
2015-03-09,29000,2015,3,11,0,29200.0,29400.0,30100.0,30300.0,29100.0,29425.0
2015-03-16,28700,2015,3,12,0,29000.0,29200.0,29400.0,30100.0,28850.0,29075.0
2015-03-23,27800,2015,3,13,0,28700.0,29000.0,29200.0,29400.0,28250.0,28675.0
2015-03-30,27200,2015,3,14,0,27800.0,28700.0,29000.0,29200.0,27500.0,28175.0
2015-04-06,26600,2015,4,15,0,27200.0,27800.0,28700.0,29000.0,26900.0,27575.0
2015-04-13,25700,2015,4,16,0,26600.0,27200.0,27800.0,28700.0,26150.0,26825.0
2015-04-20,24800,2015,4,17,0,25700.0,26600.0,27200.0,27800.0,25250.0,26075.0
2015-04-27,24700,2015,4,18,0,24800.0,25700.0,26600.0,27200.0,24750.0,25450.0
2015-05-04,24300,2015,5,19,0,24700.0,24800.0,25700.0,26600.0,24500.0,24875.0
2015-05-11,23900,2015,5,20,0,24300.0,24700.0,24800.0,25700.0,24100.0,24425.0
2015-05-18,24000,2015,5,21,0,23900.0,24300.0,24700.0,24800.0,23950.0,24225.0
2015-05-25,23700,2015,5,22,0,24000.0,23900.0,24300.0,24700.0,23850.0,23975.0
2015-06-01,23500,2015,6,23,0,23700.0,24000.0,23900.0,24300.0,23600.0,23775.0
2015-06-08,23800,2015,6,24,0,23500.0,23700.0,24000.0,23900.0,23650.0,23750.0
2015-06-15,24400,2015,6,25,0,23800.0,23500.0,23700.0,24000.0,24100.0,23850.0
2015-06-22,25000,2015,6,26,0,24400.0,23800.0,23500.0,23700.0,24700.0,24175.0
2015-06-29,25300,2015,6,27,0,25000.0,24400.0,23800.0,23500.0,25150.0,24625.0
2015-07-06,25500,2015,7,28,0,25300.0,25000.0,24400.0,23800.0,25400.0,25050.0
2015-07-13,25500,2015,7,29,0,25500.0,25300.0,25000.0,24400.0,25500.0,25325.0
2015-07-20,25400,2015,7,30,0,25500.0,25500.0,25300.0,25000.0,25450.0,25425.0
2015-07-27,25200,2015,7,31,0,25400.0,25500.0,25500.0,25300.0,25300.0,25400.0
2015-08-03,25000,2015,8,32,0,25200.0,25400.0,25500.0,25500.0,25100.0,25275.0
2015-08-10,24700,2015,8,33,0,25000.0,25200.0,25400.0,25500.0,24850.0,25075.0
