,dt,Цена на арматуру,year,month,quarter,day_of_month,day_of_week,stationary_price,rolling_std,normalized_price,log_normalized_price
24,2015-06-22,25000,2015,6,2,22,0,0.08505220010578896,2948.6916774555543,8.478336406325353,2.137514252070719
25,2015-06-29,25300,2015,6,2,29,0,0.08549092824240301,2739.5651828902237,9.235042173119115,2.223005180313122
26,2015-07-06,25500,2015,7,3,6,0,0.09107084917145603,2520.8658220448033,10.115572108996918,2.314076029484578
27,2015-07-13,25500,2015,7,3,13,0,0.061605851936960665,2370.2526924543204,10.758346602106618,2.3756818814215386
28,2015-07-20,25400,2015,7,3,20,0,0.06030395523573384,2222.7903863048523,11.427078395018949,2.4359858366572724
29,2015-07-27,25200,2015,7,3,27,0,0.07476943798634883,2046.413440880042,12.31422717257123,2.5107552746436212
30,2015-08-03,25000,2015,8,3,3,0,0.09194606311785813,1851.8302736262958,13.500157307097284,2.6027013377614794
31,2015-08-10,24700,2015,8,3,10,0,0.0802422199869417,1688.532292953803,14.628088608712071,2.682943557748421
32,2015-08-17,24400,2015,8,3,17,0,0.09901581328399711,1510.7765063615188,16.150635052410088,2.781959371032418
33,2015-08-24,24100,2015,8,3,24,0,0.12841669647106135,1312.3714567833736,18.36370326056098,2.9103760675034795
34,2015-08-31,24100,2015,8,3,31,0,0.19021593090540234,1085.0432436450242,22.211096323718873,3.100591998408882
35,2015-09-07,23900,2015,9,3,7,0,0.1594397887078629,917.4535489564358,26.05036519525727,3.260031787116745
36,2015-09-14,24200,2015,9,3,14,0,0.19422227010429394,764.9831863265524,31.634682215969146,3.4542540572210387
37,2015-09-21,24200,2015,9,3,21,0,0.16690674140631323,647.3888467069738,37.38093438448375,3.621160798627352
38,2015-09-28,24000,2015,9,3,28,0,0.05382335871955357,608.3953710673989,39.44803189066547,3.6749841573469055
39,2015-10-05,24000,2015,10,4,5,0,-0.006225761369643035,612.1949107070869,39.20320077845784,3.6687583959772625
40,2015-10-12,23800,2015,10,4,12,0,-0.026942932367981065,623.6725032453762,38.161053880286566,3.6418154636092814
41,2015-10-19,23800,2015,10,4,19,0,-0.019300361279304568,635.8265190433996,37.431593818715015,3.622515102329977
42,2015-10-26,24200,2015,10,4,26,0,0.028020104188992256,628.6487694749151,38.49526345245737,3.650535206518969
43,2015-11-02,24500,2015,11,4,2,0,0.021456855165970623,622.9313591888559,39.330176011531094,3.6719920616849397
44,2015-11-09,24500,2015,11,4,9,0,0.03160365959455724,603.5522863173053,40.59300338250997,3.703595721279497
45,2015-11-16,23950,2015,11,4,16,0,0.01886737209857836,578.9757009744419,41.36615743923464,3.7224630933780753
46,2015-11-23,23750,2015,11,4,23,0,-0.012911624025560009,581.6019855237971,40.835486451461286,3.7095514693525153
47,2015-11-30,23100,2015,11,4,30,0,-0.13257109541819467,645.8759920460388,35.765379553469145,3.5769803739343207
48,2015-12-07,22800,2015,12,4,7,0,-0.1116078845580959,712.7589791218671,31.988372883201052,3.4653724893762248
49,2015-12-14,22000,2015,12,4,14,0,-0.1838377324695193,826.55211922607,26.616591365828665,3.2815347569067055
50,2015-12-21,21700,2015,12,4,21,0,-0.12445271136412339,923.3288860877601,23.501918251410007,3.157082045542582
51,2015-12-28,21300,2015,12,4,28,0,-0.12366642141622286,1025.6139907250779,20.768047425856142,3.0334156241263592
52,2016-01-04,21300,2016,1,1,4,0,-0.06697770185522778,1096.6599488803563,19.422611377160628,2.9664379222711315
53,2016-01-11,21300,2016,1,1,11,0,-0.047862508082519906,1150.42525218702,18.514892609934943,2.9185754141886115
54,2016-01-18,21200,2016,1,1,18,0,-0.04611518832957717,1199.0636443443727,17.68046266767749,2.8724602258590344
55,2016-01-25,21000,2016,1,1,25,0,-0.05639216488526566,1256.6561910915402,16.711014634606826,2.8160680609737687
56,2016-02-01,21000,2016,2,1,1,0,-0.039723441991079245,1307.5796315152763,16.060207343291474,2.7763446189826895
57,2016-02-08,21000,2016,2,1,8,0,-0.03473195526942474,1353.79231168906,15.511980544341647,2.7416126637132647
58,2016-02-15,21200,2016,2,1,15,0,-0.006182578698461949,1375.1613871032425,15.416372360961567,2.735430085014803
59,2016-02-22,21800,2016,2,1,22,0,0.03144179422688298,1370.3115058950684,15.908791472753885,2.7668718792416858
60,2016-02-29,22450,2016,2,1,29,0,0.05550304629570313,1334.97916989666,16.81674179361004,2.822374925537389
61,2016-03-07,23300,2016,3,1,7,0,0.06211016225630228,1302.0868840531316,17.89435120294879,2.884485087793691
62,2016-03-14,23800,2016,3,1,14,0,0.02784715803357951,1293.5020853974459,18.399661097327982,2.9123322458272707
63,2016-03-21,25500,2016,3,1,21,0,-0.006953786012091623,1395.5658947776958,18.272157621093182,2.905378459815179
64,2016-03-28,26700,2016,3,1,28,0,-0.0948403784272247,1606.6085780887668,16.61885811151495,2.8105380813879544
65,2016-04-04,29900,2016,4,2,4,0,-0.18252494118499607,2159.43225059911,13.846232032380078,2.6280131402029583
66,2016-04-11,29950,2016,4,2,11,0,-0.1731318050117565,2571.9078803346615,11.645051608964645,2.4548813351912018
67,2016-04-18,31500,2016,4,2,18,0,-0.12481674847236413,3064.6180933308815,10.278605372900865,2.3300645867188376
68,2016-04-25,31900,2016,4,2,25,0,-0.12076842162166868,3501.9145902065397,9.109302690937007,2.209296165097169
69,2016-05-02,40300,2016,5,2,2,0,-0.09112093112558606,4846.109581892482,8.31594897287944,2.118175233971583
70,2016-05-09,43500,2016,5,2,9,0,-0.1684539271400236,6190.647164783384,7.026729006210791,1.9497213068315593
71,2016-05-16,43350,2016,5,2,16,0,-0.1499163398624399,7167.104490333755,6.048467698282614,1.7998049669691194
72,2016-05-23,42950,2016,5,2,23,0,-0.10541378866634221,7890.389265025087,5.443330938104666,1.6943911783027772
73,2016-05-30,42000,2016,5,2,30,0,-0.08162286843747468,8372.07119457046,5.016679746731999,1.6127683098653025
74,2016-06-06,38300,2016,6,2,6,0,-0.10983967511844983,8520.893970586123,4.494833538852904,1.5029286347468527
75,2016-06-13,37500,2016,6,2,13,0,-0.02553560535899213,8558.696526450974,4.381508315443226,1.4773930293878605
76,2016-06-20,36800,2016,6,2,20,0,-0.013737937934878985,8515.114439221788,4.321727002339997,1.4636550914529816
77,2016-06-27,35400,2016,6,2,27,0,-0.02273083212779481,8379.49425162661,4.224598637695614,1.4409242593251868
78,2016-07-04,34400,2016,7,3,4,0,-0.0036203742099045755,8172.318733276425,4.209331662497266,1.4373038851152822
79,2016-07-11,33400,2016,7,3,11,0,0.004922626286509191,7895.78749365302,4.230103713764889,1.4422265114017914
80,2016-07-18,32500,2016,7,3,18,0,0.015083994174190263,7568.005691391058,4.294394233472921,1.4573105055759816
81,2016-07-25,32000,2016,7,3,25,0,0.03532101328630555,7192.971609822331,4.448787196143321,1.4926315188622872
82,2016-08-01,31000,2016,8,3,1,0,0.025984579243232053,6789.457940839951,4.565902060240889,1.5186160981055192
83,2016-08-08,30200,2016,8,3,8,0,0.03353058955200239,6396.143539189293,4.721595101011106,1.5521466876575216
84,2016-08-15,29200,2016,8,3,15,0,0.023978796622236453,6037.821239991032,4.836181602495302,1.576125484279758
85,2016-08-22,28850,2016,8,3,22,0,0.040938459300615904,5726.165155783076,5.038275916799791,1.617063943580374
86,2016-08-29,28700,2016,8,3,29,0,0.04706480711381422,5434.504630572139,5.281070116040824,1.6641287506941882
87,2016-09-05,28500,2016,9,3,5,0,0.025174248155831913,5262.47310571804,5.415704636862236,1.68930299885002
88,2016-09-12,30000,2016,9,3,12,0,0.08247870424817427,5100.893286360777,5.8813228028542905,1.7717817030981944
89,2016-09-19,32000,2016,9,3,19,0,0.07642700561860893,5040.610441522761,6.348437430592801,1.8482087087168033
90,2016-09-26,32500,2016,9,3,26,0,0.029530846023420265,4970.401067857823,6.53870775341819,1.8777395547402236
91,2016-10-03,33300,2016,10,4,3,0,0.030967582857342135,4937.456200502839,6.744363625262877,1.9087071375975657
92,2016-10-10,34300,2016,10,4,10,0,0.035932606204260864,4906.228941614538,6.9911128094875625,1.9446397438018266
93,2016-10-17,33700,2016,10,4,17,0,0.01326559598457,4756.882409059853,7.084471950749871,1.9579053397863966
94,2016-10-24,32200,2016,10,4,24,0,0.04301588907835363,4353.783441286793,7.395866246963135,2.00092122886475
95,2016-10-31,30400,2016,10,4,31,0,0.05038950083178051,3908.4148349092916,7.778089400457804,2.0513107296965307
96,2016-11-07,30200,2016,11,4,7,0,0.14008398542669243,3375.1751162298665,8.94768388602425,2.191394715123223
97,2016-11-14,29800,2016,11,4,14,0,0.173487617978199,2800.018601128674,10.642786440057135,2.364882333101422
98,2016-11-21,33500,2016,11,4,21,0,0.2267942652896502,2508.961294114007,13.352139022068851,2.5916765983910723
99,2016-11-28,33500,2016,11,4,28,0,0.10696052402579648,2254.4551303546773,14.859466284755769,2.698637122416869
100,2016-12-05,33500,2016,12,4,5,0,0.1026572471459315,2034.5019954684576,16.46594600281353,2.8012943695628003
101,2016-12-12,33500,2016,12,4,12,0,0.056923224566225894,1921.926070076708,17.43043112925928,2.858217594129026
102,2016-12-19,33000,2016,12,4,19,0,0.01931359250915099,1857.0261698888614,17.77034730855461,2.877531186638177
103,2016-12-26,32500,2016,12,4,26,0,-0.00014831578898322206,1829.160683031359,17.767711880915616,2.877382870849194
104,2017-01-02,33750,2017,1,1,2,0,0.014256837999480965,1872.6240985560007,18.02283759245914,2.891639708848675
105,2017-01-09,33750,2017,1,1,9,0,-0.024715275450991392,1919.483201507501,17.582857705393735,2.8669244333976835
106,2017-01-16,33750,2017,1,1,16,0,-0.018287329894220772,1954.908352498036,17.264236431786337,2.8486371035034628
107,2017-01-23,33750,2017,1,1,23,0,-0.0017219173522016185,1958.2774429273752,17.23453442304276,2.846915186151261
108,2017-01-30,33000,2017,1,1,30,0,0.02189339960411818,1873.2951186209805,17.616017717642286,2.8688085857553793
109,2017-02-06,32600,2017,2,1,6,0,0.0638149590711885,1736.1825106090787,18.77682778209961,2.932623544826568
110,2017-02-13,32000,2017,2,1,13,0,0.08936060000740076,1558.5435415843885,20.531989736693113,3.0219841448339686
111,2017-02-20,31300,2017,2,1,20,0,0.12997992679841897,1338.6398028368367,23.381943323117426,3.1519640716323876
112,2017-02-27,30300,2017,2,1,27,0,-0.01445278187061394,1314.7367069856864,23.046439518273736,3.1375112897617736
113,2017-03-06,30500,2017,3,1,6,0,-0.04042542618935263,1378.0105382319018,22.133357586026847,3.097085863572421
114,2017-03-13,30700,2017,3,1,13,0,-0.02876500697733153,1427.5244610711359,21.505761083046107,3.0683208565950895
115,2017-03-20,30600,2017,3,1,20,0,-0.028193370885075453,1463.5610235193928,20.90790852465916,3.040127485710014
116,2017-03-27,30400,2017,3,1,27,0,0.0009196370894399841,1452.6587318789864,20.9271450567596,3.041047122799454
117,2017-04-03,29800,2017,4,2,3,0,-0.046820053569840425,1492.2444431998356,19.96991855844981,2.9942270692296136
118,2017-04-10,29500,2017,4,2,10,0,-0.0652792268775153,1576.8708695167,18.707936439362054,2.9289478423520983
119,2017-04-17,28200,2017,4,2,17,0,-0.1347722408765395,1724.860842948251,16.349144984820118,2.7941756014755588
120,2017-04-24,27500,2017,4,2,24,0,-0.12824329510513754,1912.198635913206,14.381351123005516,2.6659323063704212
121,2017-05-01,26500,2017,5,2,1,0,-0.15768068833840143,2157.3769634254377,12.283435138717648,2.50825161803202
122,2017-05-08,26300,2017,5,2,8,0,-0.09994303298905827,2366.140990813041,11.115144914066567,2.4083085850429615
123,2017-05-15,26300,2017,5,2,15,0,-0.06337200067891269,2520.9412780816924,10.432611115802331,2.344936584364049
124,2017-05-22,26200,2017,5,2,22,0,-0.04942175726159714,2638.589736412498,9.92954669626748,2.2955148271024517
125,2017-05-29,26150,2017,5,2,29,0,-0.03201593089889654,2719.2341939320345,9.616678128847331,2.263498896203555
126,2017-06-05,26150,2017,6,2,5,0,-0.024760306269656418,2787.403732008931,9.381489914686034,2.2387385899338987
127,2017-06-12,26150,2017,6,2,12,0,-0.02105593197017308,2846.717376003545,9.186019033864019,2.2176826579637257
128,2017-06-19,26350,2017,6,2,19,0,0.024014005202207755,2800.426177452683,9.409282134324435,2.2416966631659334
129,2017-06-26,26550,2017,6,2,26,0,0.04100468745914476,2708.3196766656665,9.803126354968144,2.282701350625078
130,2017-07-03,26650,2017,7,3,3,0,0.05505140340633252,2572.9070219264026,10.357933564208803,2.3377527540314107
131,2017-07-10,28000,2017,7,3,10,0,0.13581440244918586,2359.9427345054064,11.864694676952915,2.4735671564805966
132,2017-07-17,28800,2017,7,3,17,0,0.1112052143638147,2171.9014243518,13.26027032216497,2.5847723708444112
133,2017-07-24,29400,2017,7,3,24,0,0.10343077476764018,1999.2888228321028,14.70522901156086,2.6882031456120514
134,2017-07-31,29400,2017,7,3,31,0,0.07321861376660399,1858.1342910237101,15.82232249952318,2.7614217593786554
135,2017-08-07,30900,2017,8,3,7,0,0.06443532700792476,1831.067440323927,16.875402467171607,2.82585708638658
136,2017-08-14,33900,2017,8,3,14,0,-0.059310429075396076,2131.5903772141146,15.90361842611884,2.766546657311184
137,2017-08-21,35900,2017,8,3,21,0,-0.1412068992572375,2599.7038571590165,13.80926519808756,2.6253397580539466
138,2017-08-28,36800,2017,8,3,28,0,-0.14152477953775255,3070.0162866017395,11.986907092514038,2.483814978516194
139,2017-09-04,38600,2017,9,3,4,0,-0.12478512897111038,3648.158161458249,10.580681618411722,2.3590298495450837
140,2017-09-11,39600,2017,9,3,11,0,-0.1200543325946275,4220.077957930925,9.383712906435408,2.238975516950456
141,2017-09-18,38800,2017,9,3,18,0,-0.1114713079385714,4622.409184253015,8.393891248783962,2.1275042090118848
142,2017-09-25,38800,2017,9,3,25,0,-0.07072627307602719,4961.173525852845,7.820730276377529,2.0567779359358576
143,2017-10-02,37500,2017,10,4,2,0,-0.07091775590850125,5147.3434825680915,7.285311370223666,1.9858601800273563
144,2017-10-09,37000,2017,10,4,9,0,-0.03381963137481958,5253.409865733996,7.043044602580315,1.9520405486525367
145,2017-10-16,35800,2017,10,4,16,0,-0.030675515988633828,5241.369718092697,6.830275657987241,1.921365032663903
146,2017-10-23,33800,2017,10,4,23,0,-0.03804818415803268,5140.467116314728,6.5752779339305825,1.8833168485058702
147,2017-10-30,31500,2017,10,4,30,0,-0.043935053083016484,5005.842600894234,6.292646915101345,1.8393817954228537
148,2017-11-06,30000,2017,11,4,6,0,-0.021638036403810235,4871.751983763579,6.1579489473156785,1.8177437590190435
149,2017-11-13,32500,2017,11,4,13,0,0.11615293802272864,4698.970265704076,6.916408949680877,1.9338966970417721
150,2017-11-20,32500,2017,11,4,20,0,0.04251151049412716,4503.396463797626,7.216775218718671,1.9764082075358993
151,2017-11-27,32000,2017,11,4,27,0,0.034074886661318526,4285.566756863819,7.466923703556452,2.010483094197218
152,2017-12-04,31500,2017,12,4,4,0,0.03749498887390157,4063.35693303178,7.75221092292697,2.0479780830711194
153,2017-12-11,31700,2017,12,4,11,0,0.06614826354931891,3827.417654998883,8.282346704075401,2.1141263466204383
154,2017-12-18,31800,2017,12,4,18,0,0.07312092603506803,3568.762928604219,8.9106507314111,2.1872472726555063
155,2017-12-25,34600,2017,12,4,25,0,0.14266915604393215,3366.714198258247,10.27708262789284,2.3299164286994385
156,2018-01-01,35600,2018,1,1,1,0,0.07839549642408317,3202.8265369961896,11.11518203960802,2.4083119251235217
157,2018-01-08,35600,2018,1,1,8,0,0.04944842195944554,3048.3037573544893,11.678626158600391,2.457760347082967
158,2018-01-15,35600,2018,1,1,15,0,0.06331528730780933,2861.2826504554123,12.441972481933504,2.5210756343907765
159,2018-01-22,35300,2018,1,1,22,0,0.03218833721560488,2747.3010471148427,12.84897410026153,2.5532639716063814
160,2018-01-29,34500,2018,1,1,29,0,-0.020585180318899,2740.884100463564,12.58717944117558,2.5326787912874824
161,2018-02-05,33700,2018,2,1,5,0,-0.02399172603513744,2742.3378104578424,12.288785091131306,2.508687065252345
162,2018-02-12,34000,2018,2,1,12,0,0.0197038010649071,2712.768386508628,12.533322110760253,2.528390866317252
163,2018-02-19,33900,2018,2,1,19,0,0.04568215877619286,2584.0087943494705,13.1191503969066,2.574073025093445
164,2018-02-26,32700,2018,2,1,26,0,0.052736256779367,2364.49813898751,13.82957316007967,2.626809281872812
165,2018-03-05,32900,2018,3,1,5,0,0.09510723183902359,2163.1297776098972,15.20944343725513,2.7219165137118355
166,2018-03-12,33300,2018,3,1,12,0,0.1404063725696303,1902.6249982742281,17.502135223811678,2.862322886281466
167,2018-03-19,33600,2018,3,1,19,0,0.10756855004704047,1723.9783784245667,19.489803596437728,2.9698914363285063
168,2018-03-26,34800,2018,3,1,26,0,0.11851752229002743,1585.9893816922659,21.94213933694062,3.0884089586185337
169,2018-04-02,36100,2018,4,2,2,0,0.023992718111785383,1606.2322011645786,22.474957215915698,3.112401676730319
170,2018-04-09,36100,2018,4,2,9,0,-0.05231710242083487,1692.502649153419,21.32936100162504,3.060084574309484
171,2018-04-16,35900,2018,4,2,16,0,-0.007776730013108413,1696.2661467410555,21.164131624611343,3.052307844296376
172,2018-04-23,35900,2018,4,2,23,0,0.09078944529372013,1549.047159207658,23.17553715947741,3.143097289590096
173,2018-04-30,36400,2018,4,2,30,0,-0.011290186031487348,1588.4547226147627,22.915352563579397,3.1318071035586086
174,2018-05-07,37900,2018,5,2,7,0,-0.03870339697743175,1719.179952810342,22.0453943393447,3.093103706581177
175,2018-05-14,37700,2018,5,2,14,0,-0.03298391085279828,1767.4543636360954,21.330112265213838,3.0601197957283786
176,2018-05-21,37900,2018,5,2,21,0,0.010889429273615914,1757.5870729043909,21.563654275956136,3.0710092250019945
177,2018-05-28,37900,2018,5,2,28,0,0.020030075381397783,1722.732704459557,21.99993063456104,3.0910393003833923
178,2018-06-04,37600,2018,6,2,4,0,0.04346548072709355,1636.4009200115172,22.97725425364303,3.134504781110486
179,2018-06-11,37400,2018,6,2,11,0,-0.029552018168530925,1676.516185946076,22.308165178193484,3.104952762941955
180,2018-06-18,37400,2018,6,2,18,0,-0.025775698349382203,1720.291304957707,21.740504001977428,3.0791770645925727
181,2018-06-25,37100,2018,6,2,25,0,-0.02391431042874581,1747.7936401920279,21.22676221428742,3.055262754163827
182,2018-07-02,37100,2018,7,3,2,0,-0.014077284180143756,1772.5718235279678,20.93004046863359,3.041185469983683
183,2018-07-09,37200,2018,7,3,9,0,-0.010230824272595918,1795.6267324583046,20.717000547809455,3.030954645711087
184,2018-07-16,37800,2018,7,3,16,0,0.0032773190923074402,1818.6184834664593,20.78500814967503,3.0342319648033946
185,2018-07-23,37500,2018,7,3,23,0,0.012857573405101519,1781.1360566149801,21.053978364386232,3.047089538208496
186,2018-07-30,37500,2018,7,3,30,0,0.02008465909552193,1745.719402390919,21.481115435069572,3.067174197304018
187,2018-08-06,39400,2018,8,3,6,0,0.02626607658738367,1786.6199566682524,22.052815347184644,3.0934402738914017
188,2018-08-13,39650,2018,8,3,13,0,0.04902041097673848,1711.945192049022,23.16078819821506,3.1424606848681402
189,2018-08-20,40750,2018,8,3,20,0,0.03803169834624587,1693.7812513829197,24.05859668521475,3.180492383214386
190,2018-08-27,43100,2018,8,3,27,0,-0.06434041474971774,1910.511540877509,22.559403111589642,3.1161519684646684
191,2018-09-03,48700,2018,9,3,3,0,-0.273061375751837,2836.549751503349,17.16874522443662,2.8430905927128314
192,2018-09-10,48850,2018,9,3,10,0,-0.2058329771206311,3495.5710849795405,13.974826662775738,2.6372576155922003
193,2018-09-17,48350,2018,9,3,17,0,-0.13561655736741463,3962.301976947475,12.202502555660447,2.5016410582247857
194,2018-09-24,44600,2018,9,3,24,0,-0.10284382000295578,4050.8900435494024,11.00992609538257,2.39879723822183
195,2018-10-01,42600,2018,10,4,1,0,-0.037713962505659726,4017.9466058593143,10.602430589265927,2.36108327571617
